timestamp,mode,asset,outcome,question,resolution_day,best_ask,midpoint,vwap,cost_cents,shares,notional,market_id
2026-07-31T08:26:47.539021+00:00,dry,BTC,Yes,"Will the price of Bitcoin be above $62,000 on July 31?",2026-07-31,0.9830,0.9810,0.9830,0.200,25.43,25.00,3082125
2026-07-31T08:44:40.381808+00:00,dry,BTC,No,"Will the price of Bitcoin be between $60,000 and $62,000 on July 31?",2026-07-31,0.9890,0.9845,0.9890,0.450,25.28,25.00,3081980
2026-07-31T18:07:53.344096+00:00,dry,BTC,No,"Will Bitcoin dip to $62,000 on July 31?",2026-08-01,0.9650,0.9555,0.9650,0.911,25.91,25.00,3236437
2026-07-31T18:07:54.635496+00:00,dry,BTC,No,"Will Bitcoin reach $65,000 on July 31?",2026-08-01,0.9880,0.9820,0.9880,0.600,25.30,25.00,3236432
2026-07-31T20:06:21.841749+00:00,dry,BTC,No,"Will Bitcoin dip to $61,000 on July 31?",2026-08-01,0.9840,0.9820,0.9840,0.200,25.41,25.00,3236439
2026-08-01T19:48:17.476261+00:00,dry,BTC,No,"Will Bitcoin dip to $61,000 on August 1?",2026-08-02,0.9700,0.9615,0.9700,0.850,25.77,25.00,3253757
2026-08-01T21:28:42.305569+00:00,dry,BTC,No,"Will Bitcoin dip to $62,000 on August 1?",2026-08-02,0.9390,0.9300,0.9390,0.900,26.62,25.00,3253750
2026-08-02T18:37:04.986693+00:00,dry,BTC,No,"Will Bitcoin dip to $62,000 on August 2?",2026-08-03,0.9500,0.9450,0.9500,0.500,26.32,25.00,3279512
2026-08-02T18:37:06.515423+00:00,dry,BTC,No,"Will Bitcoin dip to $62,000 July 27-August 2?",2026-08-03,0.9400,0.9350,0.9400,0.500,26.60,25.00,3126378
2026-08-02T21:28:27.017971+00:00,dry,BTC,No,"Will Bitcoin reach $65,000 on August 2?",2026-08-03,0.9700,0.9675,0.9700,0.250,25.77,25.00,3279500
2026-08-02T21:28:30.015781+00:00,dry,ETH,No,"Will Ethereum dip to $1,800 on August 2?",2026-08-03,0.9860,0.9795,0.9860,0.650,25.35,25.00,3279591
